,trial_00,trial_01,trial_02,trial_03,trial_04,trial_05,trial_06,trial_07,trial_08,trial_09,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31
sub-011,inactive_pic-present_2,active_pic-absent_3,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,active_pic-present_1,inactive_pic-present_2,active_pic-absent_3,active_pic-present_2,inactive_pic-present_3,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,inactive_pic-absent_1,active_pic-present_2,inactive_pic-absent_3,active_pic-present_2,inactive_pic-present_3,inactive_pic-absent_0,active_pic-present_1,active_pic-absent_0,inactive_pic-absent_1,active_pic-present_2,active_pic-absent_3,inactive_pic-present_2,active_pic-present_3,active_pic-absent_0,inactive_pic-present_1,inactive_pic-absent_0,active_pic-absent_1,inactive_pic-present_2,inactive_pic-absent_3
sub-012,active_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,active_pic-absent_1,inactive_pic-present_2,active_pic-absent_3,inactive_pic-present_2,active_pic-present_3,inactive_pic-absent_0,inactive_pic-absent_1,active_pic-present_0,inactive_pic-absent_1,active_pic-present_2,inactive_pic-present_3,inactive_pic-present_2,active_pic-absent_3,inactive_pic-present_0,active_pic-absent_1,active_pic-present_0,inactive_pic-absent_1,inactive_pic-absent_2,active_pic-present_3,active_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,inactive_pic-present_1,inactive_pic-absent_0,active_pic-present_1,active_pic-present_2,inactive_pic-absent_3
sub-013,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_0,active_pic-present_1,active_pic-absent_0,inactive_pic-present_1,active_pic-present_2,inactive_pic-absent_3,active_pic-present_2,inactive_pic-absent_3,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,active_pic-absent_2,inactive_pic-present_3,active_pic-absent_2,inactive_pic-absent_3,active_pic-present_0,inactive_pic-present_1,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_2,active_pic-present_3,inactive_pic-present_2,active_pic-absent_3,inactive_pic-present_0,active_pic-absent_1,active_pic-present_0,inactive_pic-present_1,active_pic-absent_2,inactive_pic-absent_3
sub-014,inactive_pic-present_2,inactive_pic-absent_3,active_pic-present_0,inactive_pic-present_1,inactive_pic-absent_0,active_pic-absent_1,inactive_pic-present_2,active_pic-present_3,active_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,inactive_pic-absent_1,active_pic-present_0,active_pic-present_1,inactive_pic-absent_2,active_pic-absent_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-present_0,inactive_pic-absent_1,active_pic-absent_0,inactive_pic-present_1,active_pic-present_2,active_pic-absent_3,inactive_pic-present_2,active_pic-absent_3,active_pic-absent_0,inactive_pic-present_1,active_pic-present_0,inactive_pic-absent_1,inactive_pic-absent_2,active_pic-present_3
sub-015,inactive_pic-present_2,active_pic-absent_3,active_pic-present_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-present_1,inactive_pic-present_2,active_pic-absent_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_0,active_pic-present_1,active_pic-present_0,inactive_pic-absent_1,active_pic-absent_2,inactive_pic-absent_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_2,inactive_pic-absent_3,active_pic-present_2,inactive_pic-absent_3,active_pic-present_0,active_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_2,active_pic-present_3
sub-016,active_pic-absent_2,active_pic-absent_3,inactive_pic-present_0,active_pic-absent_1,active_pic-present_0,inactive_pic-absent_1,active_pic-absent_2,active_pic-present_3,inactive_pic-absent_2,inactive_pic-present_3,active_pic-present_0,inactive_pic-absent_1,inactive_pic-present_0,active_pic-present_1,inactive_pic-absent_2,inactive_pic-present_3,inactive_pic-present_2,inactive_pic-absent_3,active_pic-present_0,inactive_pic-absent_1,active_pic-absent_0,active_pic-present_1,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,inactive_pic-present_1,active_pic-present_0,active_pic-absent_1,inactive_pic-present_2,active_pic-absent_3
sub-017,inactive_pic-present_2,active_pic-absent_3,inactive_pic-present_0,active_pic-absent_1,active_pic-present_0,inactive_pic-absent_1,active_pic-present_2,inactive_pic-present_3,active_pic-absent_2,active_pic-present_3,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,inactive_pic-present_1,active_pic-absent_2,inactive_pic-absent_3,inactive_pic-present_2,active_pic-absent_3,inactive_pic-present_0,active_pic-absent_1,inactive_pic-absent_0,active_pic-present_1,active_pic-absent_2,inactive_pic-absent_3,active_pic-present_2,inactive_pic-absent_3,inactive_pic-absent_0,active_pic-present_1,active_pic-absent_0,inactive_pic-present_1,active_pic-present_2,inactive_pic-present_3
sub-018,active_pic-present_2,inactive_pic-absent_3,active_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,active_pic-present_1,active_pic-present_2,inactive_pic-absent_3,inactive_pic-present_2,active_pic-absent_3,inactive_pic-present_0,active_pic-absent_1,active_pic-absent_0,inactive_pic-present_1,inactive_pic-absent_2,inactive_pic-present_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-absent_1,inactive_pic-present_2,active_pic-absent_3,inactive_pic-present_2,active_pic-absent_3,active_pic-present_0,inactive_pic-absent_1,active_pic-present_0,inactive_pic-present_1,active_pic-absent_2,active_pic-present_3
sub-019,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_0,active_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,active_pic-absent_2,inactive_pic-present_3,active_pic-present_2,inactive_pic-absent_3,active_pic-present_0,inactive_pic-absent_1,active_pic-absent_0,inactive_pic-present_1,inactive_pic-present_2,active_pic-present_3,active_pic-absent_2,inactive_pic-absent_3,active_pic-present_0,inactive_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-present_0,active_pic-absent_1,active_pic-present_0,inactive_pic-present_1,active_pic-absent_2,inactive_pic-present_3
sub-020,inactive_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-absent_1,active_pic-present_2,inactive_pic-absent_3,active_pic-present_2,active_pic-present_3,inactive_pic-absent_0,active_pic-present_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_2,active_pic-absent_3,active_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,inactive_pic-present_1,active_pic-present_0,inactive_pic-absent_1,active_pic-present_2,active_pic-absent_3,inactive_pic-present_2,active_pic-absent_3,inactive_pic-present_0,active_pic-present_1,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_2,inactive_pic-absent_3
sub-021,inactive_pic-present_2,active_pic-present_3,inactive_pic-absent_0,active_pic-absent_1,active_pic-present_0,inactive_pic-present_1,active_pic-absent_2,inactive_pic-present_3,active_pic-absent_2,inactive_pic-absent_3,active_pic-present_0,active_pic-present_1,inactive_pic-absent_0,active_pic-absent_1,inactive_pic-present_2,inactive_pic-absent_3,inactive_pic-present_2,inactive_pic-present_3,active_pic-absent_0,inactive_pic-absent_1,active_pic-present_0,active_pic-absent_1,inactive_pic-present_2,inactive_pic-present_3,active_pic-absent_2,inactive_pic-absent_3,active_pic-present_0,active_pic-present_1,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_2,active_pic-absent_3
sub-022,active_pic-present_2,inactive_pic-absent_3,active_pic-present_0,inactive_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_2,active_pic-absent_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_0,active_pic-present_1,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_2,inactive_pic-present_3,active_pic-present_2,inactive_pic-absent_3,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,active_pic-present_1,inactive_pic-present_2,inactive_pic-absent_3,active_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,active_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,active_pic-present_2,inactive_pic-present_3
sub-023,active_pic-present_2,inactive_pic-absent_3,inactive_pic-present_0,active_pic-present_1,inactive_pic-absent_0,active_pic-present_1,active_pic-present_2,inactive_pic-absent_3,active_pic-absent_2,inactive_pic-present_3,inactive_pic-absent_0,active_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,active_pic-absent_2,inactive_pic-present_3,active_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,inactive_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_2,active_pic-absent_3,active_pic-present_2,inactive_pic-absent_3,active_pic-present_0,inactive_pic-present_1,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_2,active_pic-present_3
sub-024,inactive_pic-present_2,active_pic-absent_3,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-present_1,active_pic-present_2,active_pic-absent_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_0,inactive_pic-absent_1,active_pic-present_0,inactive_pic-absent_1,inactive_pic-present_2,active_pic-present_3,active_pic-absent_2,inactive_pic-present_3,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_0,inactive_pic-absent_1,active_pic-present_2,inactive_pic-absent_3,inactive_pic-absent_2,active_pic-present_3,active_pic-absent_0,inactive_pic-present_1,active_pic-present_0,active_pic-absent_1,inactive_pic-absent_2,active_pic-present_3
sub-025,active_pic-present_2,inactive_pic-absent_3,active_pic-absent_0,inactive_pic-present_1,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_2,active_pic-present_3,active_pic-absent_2,inactive_pic-present_3,active_pic-present_0,active_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_2,inactive_pic-absent_3,inactive_pic-present_2,inactive_pic-absent_3,active_pic-present_0,active_pic-present_1,inactive_pic-absent_0,active_pic-present_1,inactive_pic-present_2,inactive_pic-absent_3,active_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,inactive_pic-present_1,active_pic-present_0,active_pic-absent_1,inactive_pic-absent_2,active_pic-absent_3
sub-026,active_pic-absent_2,active_pic-absent_3,inactive_pic-present_0,active_pic-absent_1,active_pic-present_0,inactive_pic-present_1,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_2,inactive_pic-absent_3,active_pic-present_0,inactive_pic-absent_1,inactive_pic-present_0,active_pic-present_1,active_pic-absent_2,inactive_pic-present_3,inactive_pic-present_2,active_pic-absent_3,active_pic-absent_0,inactive_pic-present_1,inactive_pic-absent_0,active_pic-present_1,active_pic-present_2,inactive_pic-absent_3,active_pic-absent_2,inactive_pic-present_3,inactive_pic-present_0,active_pic-absent_1,active_pic-present_0,inactive_pic-absent_1,inactive_pic-absent_2,active_pic-present_3
sub-027,active_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,inactive_pic-present_1,active_pic-present_0,inactive_pic-absent_1,active_pic-present_2,inactive_pic-absent_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-absent_2,active_pic-present_3,active_pic-absent_2,inactive_pic-absent_3,active_pic-present_0,active_pic-present_1,inactive_pic-absent_0,inactive_pic-present_1,active_pic-absent_2,active_pic-absent_3,inactive_pic-present_2,active_pic-present_3,inactive_pic-absent_0,inactive_pic-present_1,active_pic-present_0,active_pic-absent_1,inactive_pic-present_2,inactive_pic-absent_3
sub-028,inactive_pic-absent_2,active_pic-absent_3,inactive_pic-present_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-present_1,inactive_pic-absent_2,active_pic-absent_3,active_pic-present_2,inactive_pic-absent_3,active_pic-present_0,inactive_pic-absent_1,inactive_pic-present_0,active_pic-present_1,active_pic-absent_2,active_pic-present_3,inactive_pic-present_2,active_pic-absent_3,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-absent_1,inactive_pic-present_2,active_pic-present_3,inactive_pic-absent_2,inactive_pic-present_3,active_pic-present_0,inactive_pic-absent_1,active_pic-present_0,active_pic-present_1,inactive_pic-absent_2,active_pic-absent_3
sub-029,active_pic-present_2,inactive_pic-absent_3,active_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,active_pic-absent_1,inactive_pic-present_2,inactive_pic-absent_3,active_pic-absent_2,inactive_pic-present_3,active_pic-present_0,active_pic-absent_1,inactive_pic-present_0,active_pic-present_1,inactive_pic-absent_2,inactive_pic-present_3,active_pic-present_2,inactive_pic-absent_3,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,active_pic-present_1,active_pic-present_2,inactive_pic-absent_3,inactive_pic-present_2,active_pic-absent_3,inactive_pic-present_0,active_pic-absent_1,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_2,inactive_pic-present_3
sub-030,inactive_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,active_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_2,active_pic-present_3,active_pic-absent_2,inactive_pic-absent_3,active_pic-present_0,inactive_pic-absent_1,active_pic-present_0,active_pic-present_1,inactive_pic-absent_2,inactive_pic-present_3,active_pic-present_2,inactive_pic-absent_3,active_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,active_pic-present_1,active_pic-present_2,inactive_pic-absent_3,active_pic-absent_2,inactive_pic-present_3,inactive_pic-absent_0,active_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_2,inactive_pic-present_3
sub-031,inactive_pic-present_2,active_pic-absent_3,inactive_pic-present_0,active_pic-present_1,active_pic-absent_0,inactive_pic-absent_1,active_pic-present_2,inactive_pic-absent_3,active_pic-present_2,inactive_pic-present_3,active_pic-absent_0,inactive_pic-present_1,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_2,active_pic-absent_3,active_pic-absent_2,active_pic-present_3,inactive_pic-present_0,active_pic-absent_1,inactive_pic-absent_0,inactive_pic-present_1,active_pic-present_2,inactive_pic-absent_3,active_pic-present_2,inactive_pic-absent_3,active_pic-absent_0,active_pic-present_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-absent_2,inactive_pic-present_3
sub-032,active_pic-absent_2,inactive_pic-present_3,active_pic-present_0,inactive_pic-absent_1,inactive_pic-present_0,active_pic-present_1,inactive_pic-absent_2,active_pic-absent_3,active_pic-present_2,inactive_pic-absent_3,active_pic-absent_0,inactive_pic-present_1,inactive_pic-absent_0,active_pic-absent_1,inactive_pic-present_2,active_pic-present_3,active_pic-present_2,inactive_pic-absent_3,active_pic-present_0,active_pic-present_1,inactive_pic-absent_0,active_pic-present_1,inactive_pic-present_2,active_pic-absent_3,inactive_pic-present_2,active_pic-absent_3,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-present_1,inactive_pic-absent_2,inactive_pic-absent_3
sub-033,active_pic-absent_2,active_pic-absent_3,inactive_pic-present_0,active_pic-absent_1,active_pic-present_0,inactive_pic-present_1,inactive_pic-absent_2,active_pic-present_3,inactive_pic-present_2,inactive_pic-absent_3,active_pic-absent_0,inactive_pic-present_1,inactive_pic-absent_0,active_pic-present_1,active_pic-present_2,inactive_pic-absent_3,inactive_pic-present_2,inactive_pic-absent_3,active_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,active_pic-present_1,active_pic-present_2,inactive_pic-absent_3,active_pic-present_2,active_pic-absent_3,inactive_pic-present_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-present_1,inactive_pic-absent_2,active_pic-absent_3
sub-034,active_pic-present_2,inactive_pic-absent_3,active_pic-present_0,inactive_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-present_0,active_pic-absent_1,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_2,inactive_pic-present_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_0,inactive_pic-absent_1,active_pic-present_0,active_pic-absent_1,inactive_pic-present_2,active_pic-absent_3,active_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,active_pic-present_1,inactive_pic-present_0,inactive_pic-absent_1,active_pic-present_2,inactive_pic-present_3
sub-035,inactive_pic-present_2,inactive_pic-absent_3,active_pic-present_0,active_pic-absent_1,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_2,inactive_pic-present_3,active_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,inactive_pic-absent_1,active_pic-present_0,active_pic-absent_1,inactive_pic-present_2,active_pic-present_3,inactive_pic-absent_2,active_pic-absent_3,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_0,inactive_pic-present_1,active_pic-absent_2,inactive_pic-absent_3,active_pic-present_2,inactive_pic-absent_3,active_pic-present_0,inactive_pic-present_1,active_pic-absent_0,active_pic-present_1,inactive_pic-absent_2,active_pic-present_3
sub-036,inactive_pic-absent_2,active_pic-present_3,inactive_pic-present_0,active_pic-absent_1,active_pic-absent_0,inactive_pic-present_1,inactive_pic-absent_2,active_pic-present_3,inactive_pic-present_2,active_pic-absent_3,active_pic-present_0,inactive_pic-absent_1,active_pic-present_0,inactive_pic-absent_1,active_pic-absent_2,inactive_pic-present_3,inactive_pic-present_2,active_pic-absent_3,inactive_pic-present_0,inactive_pic-absent_1,active_pic-present_0,inactive_pic-present_1,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_2,active_pic-present_3,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-absent_1,active_pic-present_2,active_pic-absent_3
sub-037,inactive_pic-present_2,inactive_pic-present_3,active_pic-absent_0,inactive_pic-present_1,active_pic-present_0,active_pic-absent_1,inactive_pic-present_2,active_pic-present_3,active_pic-absent_2,inactive_pic-absent_3,active_pic-present_0,inactive_pic-absent_1,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_2,active_pic-absent_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-present_0,active_pic-absent_1,active_pic-absent_0,inactive_pic-present_1,inactive_pic-absent_2,active_pic-present_3,inactive_pic-present_2,active_pic-absent_3,active_pic-absent_0,inactive_pic-present_1,active_pic-present_0,inactive_pic-absent_1,active_pic-present_2,inactive_pic-absent_3
sub-038,active_pic-absent_2,inactive_pic-absent_3,active_pic-present_0,active_pic-present_1,inactive_pic-absent_0,active_pic-absent_1,inactive_pic-present_2,active_pic-absent_3,inactive_pic-present_2,active_pic-present_3,active_pic-absent_0,inactive_pic-absent_1,active_pic-present_0,inactive_pic-present_1,inactive_pic-absent_2,inactive_pic-present_3,active_pic-present_2,inactive_pic-absent_3,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,active_pic-absent_1,inactive_pic-present_2,inactive_pic-absent_3,active_pic-absent_2,inactive_pic-present_3,active_pic-present_0,active_pic-absent_1,inactive_pic-present_0,active_pic-present_1,active_pic-absent_2,inactive_pic-present_3
sub-039,inactive_pic-absent_2,active_pic-absent_3,active_pic-present_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_2,active_pic-absent_3,inactive_pic-present_2,active_pic-present_3,inactive_pic-absent_0,active_pic-present_1,active_pic-present_0,inactive_pic-absent_1,inactive_pic-present_2,inactive_pic-absent_3,inactive_pic-present_2,inactive_pic-absent_3,active_pic-absent_0,inactive_pic-present_1,inactive_pic-absent_0,active_pic-absent_1,inactive_pic-present_2,active_pic-present_3,active_pic-absent_2,inactive_pic-present_3,active_pic-present_0,inactive_pic-absent_1,active_pic-present_0,active_pic-present_1,inactive_pic-absent_2,active_pic-absent_3
sub-040,active_pic-present_2,inactive_pic-absent_3,active_pic-present_0,active_pic-absent_1,inactive_pic-absent_0,active_pic-present_1,active_pic-absent_2,inactive_pic-present_3,inactive_pic-present_2,active_pic-absent_3,inactive_pic-present_0,inactive_pic-absent_1,active_pic-absent_0,inactive_pic-present_1,inactive_pic-absent_2,active_pic-present_3,active_pic-absent_2,inactive_pic-present_3,active_pic-present_0,active_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_2,inactive_pic-absent_3,active_pic-present_2,inactive_pic-absent_3,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,active_pic-present_1,active_pic-absent_2,inactive_pic-present_3
