Timestamp,  # Participant  ,Date (veuillez l'inscrire sous la forme jj-mm-aaaa),Quel est votre âge en années? ,Quel sexe vous a été assigné à la naissance? ,Quel est votre genre? ,Genre (si autre à la question précédente),À quelle ethnicité vous identifiez-vous (couchez tout ce qui s'applique)?,Ethnicité (si autre à la question précédente):,"Quel est le plus haut diplôme que vous avez obtenu (ou équivalent)?

Choisissez une seule réponse. ",Quelle est votre main dominante? 
4/17/2024 16:30:58,sub-029,17-04-2024,25,Féminin,Féminin,,Blanc,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Droite
4/23/2024 16:41:07,sub-030,23-04-2024,23,Féminin,Féminin,,Blanc,,"Baccalauréat (p. ex. B.A., B.Sc., B.Ed., LL.B.)",Droite
4/23/2024 18:02:08,sub-031,23-04-2024,24,Féminin,Féminin,,Blanc,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Droite
4/24/2024 15:14:40,sub-032,24-04-204,26,Féminin,Féminin,,Noir,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Droite
4/29/2024 13:30:34,sub-033,29-04-2024,23,Féminin,Féminin,,Arabe,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Droite
4/29/2024 15:35:49,sub-034,29 04 20224,23,Masculin,Masculin,,Arabe,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Droite
4/29/2024 17:07:45,sub-035,29-04-2024,35,Féminin,Féminin,,Chinois,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Droite
5/1/2024 10:18:22,sub-036,01-05-2024,20,Masculin,Masculin,,Noir,,Secondaire/Professionnel,Droite
5/1/2024 11:57:20,sub-037,01-05-2024,18,Féminin,Féminin,,Blanc,,Secondaire/Professionnel,Droite
5/1/2024 16:58:31,sub-038,01-05-2024,21,Féminin,Féminin,,Noir,,"Baccalauréat (p. ex. B.A., B.Sc., B.Ed., LL.B.)",Droite
5/6/2024 12:00:50,sub-039,06-05-2024,30,Féminin,Masculin,,Blanc,,CÉGEP/Collège/Technique,Droite
5/15/2024 10:12:44,sub-040,15-05-2024,27,Masculin,Masculin,,"Blanc, Latino-Américain",,"Baccalauréat (p. ex. B.A., B.Sc., B.Ed., LL.B.)",Droite
5/29/2024 12:10:04,sub-041,29-05-2024,24,Masculin,Masculin,,Blanc,,CÉGEP/Collège/Technique,Droite
7/3/2024 9:02:50,sub-042,03-07-2024,25,Féminin,Féminin,,Blanc,,"Baccalauréat (p. ex. B.A., B.Sc., B.Ed., LL.B.)",Droite
10/11/2024 14:33:48,sub-043,11-10-2024,19,Féminin,Féminin,,Noir,,CÉGEP/Collège/Technique,Droite
10/18/2024 15:03:08,sub-044,18-10-2024,22,Masculin,Masculin,,Blanc,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Droite
10/22/2024 14:40:15,sub-045,22-10-2024,23,Féminin,Féminin,,Blanc,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Gauche
12/16/2024 9:45:41,sub-046,16-12-2024,25,Féminin,Féminin,,Blanc,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Droite
12/16/2024 14:19:39,sub-047,16-12-2024,21,Féminin,Féminin,,Blanc,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Droite
12/16/2024 15:41:58,sub-048,16-12-2024,28,Masculin,Masculin,,Latino-Américain,,"Baccalauréat (p. ex. B.A., B.Sc., B.Ed., LL.B.)",Droite
12/16/2024 17:15:02,sub-049,16-12-2024,23,Féminin,Féminin,,Blanc,,"Baccalauréat (p. ex. B.A., B.Sc., B.Ed., LL.B.)",Droite
12/20/2024 12:31:42,sub-050,20 12 2024,23,Féminin,Féminin,,Blanc,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Gauche
3/5/2025 14:07:51,51,20-12-1996,28,Masculin,Masculin,,Blanc,,"Maîtrise (p. ex. M.A., M.Sc., M.Ed., M.B.A.)",Droite
